PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,rand
124,r4rk1/5pp1/pqnNp2p/1p6/5P1b/1B5P/PP2Q1P1/2R2R1K b - - 0 19,a8d8 d6f7 c6d4 f7h6 g7h6 e2g4 g8h7 g4h4,2232,75,93,1861,advantage fork middlegame veryLong,0.00115916
125,3r3k/p5p1/1p2Qpqp/P2r1N2/3P4/6B1/1P4P1/4R2K w - - 2 36,f5e7 d5h5 h1g1 g6g3,2001,76,90,1847,crushing middlegame short,0.681726755
126,8/5P1P/1p4K1/8/6P1/8/2p5/k6r b - - 0 62,h1h6 g6h6 c2c1q g4g5 c1c6 h6g7,2633,81,93,1828,crushing defensiveMove endgame long,0.947925565
127,8/p4pp1/7p/2k1P2P/r1p2P2/2K1P3/P1R2P2/8 w - - 0 37,c2d2 a4a3 c3c2 a3a2 c2d1 a2d2 d1d2 c5d5,2754,118,91,1813,crushing endgame exposedKing interference rookEndgame veryLong,0.984079152
128,8/1pp2Rpk/3p3p/1q1Pb3/4P3/3P4/5Q1P/1r3B1K b - - 1 32,e5f6 f2f6 b1f1 f6f1,2052,81,91,1809,crushing endgame master pin short,0.164660115
129,r1b1k2r/5pp1/2qP3p/3p4/p7/1B6/PP2Q1PP/5R1K b kq - 0 22,e8f8 e2e7 f8g8 e7f7 g8h7 b3d5,2016,76,92,1799,advantage long middlegame,0.479597221
130,rnb1kb1r/p2ppp1p/6p1/qP1N4/8/1pR5/PP2PPPP/3QKBNR b Kkq - 1 10,b3a2 b2b4 a5d8 d5c7 d8c7 c3c7,2070,77,91,1751,crushing fork long opening,0.225932963
131,rn3r2/ppq1p1k1/2p3p1/2P1P1p1/6P1/1Q6/PP2B3/R4RK1 b - - 0 23,c7e5 f1f8 g7f8 a1f1 f8e8 b3g8,2120,76,92,1751,attraction crushing long middlegame,0.052248917
132,6k1/R4p1p/6P1/3p4/8/2b5/1r2rBPP/5RK1 b - - 0 26,e2f2 g6f7 g8f8 a7a8,2203,74,91,1748,advancedPawn advantage endgame short,0.162721312
133,8/7p/RP2p3/2K2kP1/5P2/4r3/P7/7b b - - 0 37,e3f3 b6b7 f3c3 c5d4 h1b7 a6a5 f5f4 d4c3,2318,81,88,1719,advancedPawn crushing defensiveMove endgame veryLong,0.666902311
134,rn3rk1/p1pq2pp/1p2bb2/3p4/8/1BNP4/PPP1Q1PP/4RRK1 b - - 3 16,f8e8 b3d5 e6d5 e2e8 d7e8 e1e8,2035,75,93,1715,advantage kingsideAttack long middlegame,0.010248056
135,r5k1/pp2p1bp/6p1/8/4N1P1/1q5P/4QP2/3R2K1 b - - 0 25,b3h3 e2c4 g8h8 e4g5 h3g4 c4g4,2229,84,91,1714,crushing endgame long master,0.255926781
136,1rr3k1/4Rpbp/6p1/2P1p3/PPP5/5PP1/5PK1/1R6 b - - 0 33,c8c5 b4c5 b8b1 e7e8 g7f8 c5c6 b1c1 c6c7,2210,89,89,1711,advancedPawn crushing endgame veryLong,0.861641345
137,r1b1k2r/ppp2ppp/2n5/2bBp3/2Pq4/3P1QP1/P2B1P1P/1R2K1NR b Kkq - 2 12,f7f6 g1e2 d4f2 f3f2 c5f2 e1f2,2320,78,90,1698,crushing long opening,0.40052876
138,5r1k/pp4pp/5r2/3R4/3n3N/P6Q/1q3PPP/5RK1 b - - 4 29,f6f2 h4g6 h8g8 g6e7 g8f7 f1f2 b2f2 g1f2,2076,75,92,1697,crushing fork middlegame pin veryLong,0.192840869
139,r3q1k1/3b1p2/3p2pQ/2pPr3/1pP1P1P1/4B2P/P5B1/5R1K b - - 0 32,e5e4 e3g5 e8e5 g5f6 e5f6 f1f6,2198,79,91,1666,crushing long middlegame quietMove,0.488866786
140,1r3rk1/4qppp/3bp3/p2p2PP/2nP1P2/2N5/PP2Q3/1KBR3R b - - 4 24,d6f4 c3d5 e7d7 d5f4,2187,76,91,1660,advantage middlegame short,0.028474166
141,r1b2rk1/pp1nbpp1/1qpp1n1p/4p3/1P2P3/P1NP1N2/1BP1BPPP/R2Q1RK1 b - - 0 11,d7c5 b4c5 b6b2 d1d2,2276,83,90,1653,advantage opening short,0.524265735
142,r5kr/pp1qb1p1/2p4p/3pPb1Q/3P4/2P1B3/PP4PP/R4RK1 b - - 1 17,f5e4 h5f7 g8h7 f1f6 e7f6 f7d7,2393,90,90,1634,advantage long middlegame pin,0.211246434
143,3q1rk1/p5pp/1p6/2rb1p2/2B1pP2/1Q6/P5PP/2RR2K1 b - - 1 23,d5c4 c1c4 d8d1 b3d1 c5c4 d1d5,2143,75,94,1620,crushing long middlegame,0.590437332
144,5r1k/ppp1nBp1/3pN3/7p/3P3P/2P2RK1/PP3QP1/1q5r b - - 6 26,f8f7 f3f7 b1d3 f2f3,2320,77,90,1614,advantage hangingPiece middlegame short,0.852316666
145,8/4kp2/4p1pp/1r2P2P/1P3PK1/8/8/1R6 b - - 0 39,f7f6 h5g6 f6e5 g4h5 e5f4 h5h6 f4f3 g6g7 e7f7 b1f1,2653,86,92,1607,advancedPawn crushing endgame rookEndgame veryLong,0.035684913
146,8/2k4p/p3Pp2/1p6/1P1Kp3/P7/6PP/8 b - - 1 36,f6f5 g2g4 f5g4 d4e4,2100,78,91,1601,crushing deflection endgame master pawnEndgame short,0.541472575
147,3r2r1/p4q1k/2pp3p/4bbp1/5n2/1P2BP1P/P2Q1NPN/3R1RK1 w - - 0 27,h2g4 e5c3 e3f4 c3d2,2230,75,95,1595,advantage middlegame short,0.759659194
148,2k1r3/pp3p1p/2p5/q1b1B3/3nP3/2N3QP/PP3PP1/5K1R w - - 4 20,f1g1 e8e5 g3e5 d4f3 g2f3 c5f2 g1f2 a5e5,2320,84,91,1591,advantage discoveredAttack kingsideAttack middlegame sacrifice veryLong,0.382529831
