PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
154,3rr1k1/pp3ppp/1qn5/2bp1b2/2P5/PP3N1P/1B1NBRP1/R4QK1 w - - 3 17,b3b4 c5f2 f1f2 e8e2,1832,75,95,13017,advantage kingsideAttack middlegame pin short
155,6k1/6p1/4Pq1p/2p1pP2/2PRQ1P1/1P6/r1B4P/7K b - - 0 43,e5d4 e6e7 f6e7 e4e7,1404,76,93,6519,advancedPawn crushing endgame short
156,r5k1/pp1q1ppp/2n2b2/3N4/8/8/PPP2PPP/R2QN1K1 b - - 0 15,f6b2 d5f6 g7f6 d1d7,1255,76,96,3127,advantage discoveredAttack middlegame short
157,8/p2rk1pp/P2R1p2/2P5/8/5P2/5P1P/6K1 w - - 3 40,d6c6 d7d1 g1g2 e7d7 c6d6 d1d6,1705,78,97,6700,crushing endgame long rookEndgame
158,r3kb1r/ppp2p2/2p3p1/3PPq1p/2B5/2N1Q3/PPP2PPP/2KR4 w kq - 0 15,d5c6 f8h6 e3h6 h8h6,1143,78,91,2952,crushing master middlegame pin short
159,r1b1k1nr/pppp1ppp/2n5/4P1N1/1b3B2/2P5/Pq1QPPPP/RN2KB1R b KQkq - 0 7,b4c3 d2c3 b2c3 b1c3,1175,75,93,3101,crushing opening short
160,8/8/4k3/K4p2/4P2p/6pP/P5P1/8 b - - 0 43,f5e4 a5b4 e6d5 b4c3,1059,75,95,3382,crushing defensiveMove endgame pawnEndgame short
161,r6r/2pqkp2/3p1pnp/p1bPp3/4P3/2P2QP1/NPKRNP1P/7R w - - 2 20,h1b1 d7a4 b2b3 a4a2 b1b2 a2a3,1634,76,94,4600,advantage fork long middlegame
162,r1b2bkr/ppp2Np1/3pPq1p/4n3/3Q4/8/PPP2PPP/RNB1K2R w KQ - 2 12,f7h8 e5f3 g2f3 f6d4,1302,75,93,3581,crushing discoveredAttack opening short
163,3rr1k1/pp3ppp/3q4/3pn3/8/1QP4P/PP1N1PP1/3RR1K1 b - - 5 18,e5d3 e1e8 d8e8 b3b5 d6e7 b5d3,1991,76,94,9444,crushing fork long middlegame
164,2b2rk1/3pbppp/3r4/q7/2p5/6P1/PPQ1PPBP/R1B1K2R w KQ - 2 16,c1d2 d6d2 c2d2 e7b4 d2b4 a5b4,1476,75,95,5747,crushing long master middlegame pin sacrifice
