PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
73,r2qk2r/pp2bppp/2n5/3Bp3/6b1/2P2N2/P4PPP/R1BQ1RK1 w kq - 1 13,d5f7 e8f7 f3g5 e7g5,788,83,87,259,crushing hangingPiece middlegame short
74,4r1k1/rb3p2/pq2P1pp/1p1n4/2pN4/2P4P/1PQ3P1/1B1RR1K1 b - - 2 27,e8e6 e1e6 f7e6 c2g6,771,76,97,811,capturingDefender crushing kingsideAttack middlegame short
75,1k6/pp3pp1/5r2/1Q1p4/6B1/n3P1P1/PP3P1P/KqR5 w - - 7 30,c1b1 a3c2,989,92,84,531,endgame mate mateIn1 oneMove smotheredMate
76,6k1/5ppp/8/4rP2/1r4P1/2RK3P/8/7B b - - 0 47,b4b5 c3c8 e5e8 c8e8,595,95,95,373,backRankMate endgame mate mateIn2 short
77,6k1/5ppp/1P2p3/3p4/3n4/6P1/1r4bP/R5K1 b - - 0 33,g2e4 a1a8,663,82,73,121,backRankMate endgame mate mateIn1 oneMove
78,3r4/5kp1/1pp5/6p1/1P1q1pN1/P3p2P/4Q1P1/5R1K w - - 2 33,f1d1 d4d1 e2d1 d8d1,577,93,89,105,crushing endgame short
79,6k1/2R5/1p2r2p/p4p2/3R1p2/P4KP1/1P2r2P/8 b - - 1 38,e2h2 d4d8 e6e8 d8e8,971,76,79,92,endgame master masterVsMaster mate mateIn2 rookEndgame short
80,r3q2r/pp4kp/6p1/3Pp3/3nP3/6Q1/PB3PPP/R3K2R w KQ - 2 19,e1g1 d4e2 g1h1 e2g3,832,86,93,932,advantage fork middlegame short
81,3r1rk1/pp4b1/2p2p2/5P1p/6n1/2N2B2/PPP1Q1Pq/3RR1K1 w - - 2 26,g1f1 h2h1,923,79,88,545,mate mateIn1 middlegame oneMove
82,r6k/5R1p/5p1P/4pP2/8/2nB4/5PP1/5K2 w - - 0 31,f7f6 a8a1 d3b1 a1b1,725,80,100,164,endgame mate mateIn2 short
83,N5k1/R6p/p2p1nn1/3Pp3/3rPp2/5P2/r6P/1R1B3K b - - 2 39,g6h4 b1b8 f6e8 b8e8,960,125,38,13,mate mateIn2 middlegame short
84,r3k1nr/p1q3pp/1pb1p3/2b2p2/8/N1BQ1P2/PPP3PP/2KR3R b kq - 3 14,a8d8 d3d8 c7d8 d1d8,647,92,78,114,advantage middlegame short
85,7k/1Q4bp/6p1/8/8/8/5RPP/q5K1 w - - 1 27,f2f1 g7d4 g1h1 a1f1,847,84,96,1595,deflection endgame mate mateIn2 short
86,1krr4/1p4p1/pq2bp2/2P1p3/4P1Pp/2Q1P2P/P7/R1R2BK1 b - - 0 28,c8c5 c3c5 b6c5 c1c5,748,100,79,216,crushing middlegame short
87,7r/p1Q2k1p/1p4p1/2pq1r2/3p4/2PP4/PP3P1P/4RRK1 b - - 4 24,f7f6 c7e7,982,83,95,1595,endgame mate mateIn1 oneMove
88,5kr1/5p2/4p3/pp5R/6P1/P2R2KP/1r6/8 b - - 1 37,b5b4 d3d8 f8e7 d8g8,868,88,84,220,crushing deflection endgame rookEndgame short skewer
89,r3kb1r/p1p1pppp/2p2n2/8/3q1P2/1PPPpQ1P/P5P1/RNB1K2R b KQkq - 0 10,d4d3 f3c6 e8d8 c6a8,936,88,92,87,crushing fork middlegame short
90,8/6p1/5p1p/R5kP/2b3P1/1r3PK1/8/8 b - - 4 61,c4d5 a5d5 f6f5 d5f5,854,103,100,21,endgame hangingPiece mate mateIn2 short
91,2r3k1/5ppp/2rqp3/2p5/PpQP4/6P1/2R1PP1P/2R3K1 b - - 2 27,c5d4 c4c6 c8c6 c2c6 d6c6 c1c6,642,103,88,742,crushing endgame long
92,6k1/6pp/8/p1PNp3/2r5/7P/3b2P1/5R1K b - - 2 33,c4c5 d5e7 g8h8 f1f8,880,103,93,247,backRankMate endgame mate mateIn2 short
93,6k1/6pp/4p3/2Pp4/8/1P3PP1/3n3P/6K1 b - - 0 38,d2b3 c5c6 b3d2 c6c7,603,95,87,464,advancedPawn advantage endgame knightEndgame short
94,1r3rk1/ppp2p2/6p1/3p1b1p/7Q/2qB1P2/P1P2P1P/1R4RK w - - 2 20,d3f5 c3f3 g1g2 f3f5,917,78,92,914,crushing fork middlegame short
95,r1bk4/pppp3p/2n5/2b1prN1/8/1B6/PPPP2PP/RNB2RK1 w - - 1 14,g1h1 f5f1,600,88,33,61,backRankMate hangingPiece mate mateIn1 middlegame oneMove
96,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,647,93,93,1301,backRankMate endgame hangingPiece mate mateIn2 short
97,r2q1rk1/5ppp/p1p2b2/2p5/4N1Q1/PP2p3/2PP1PPP/R3K1NR w KQ - 0 14,e4f6 d8f6 f2e3 f6a1,798,76,99,973,advantage middlegame short
